Leap Year,20180415,2,,
Legends: Seasons 1-2,20171130,2,,
Lemonade Mouth ,20180502,1,,
Less Than Zero ,20180301,1,,
Lethal Weapon ,20180701,1,,
Lethal Weapon 2 ,20180701,1,,
Lethal Weapon 3 ,20180701,1,,
Lethal Weapon 4 ,20180701,1,,
License to Drive ,20180101,1,,
Life in Pieces: Season 1,20180330,2,,
Lights Out: Season 1,20180301,2,,
Little Einsteins: Seasons 1–2,20180502,2,,
Little Women ,20180701,1,,
Littlest Pet Shop: Seasons 2-4,20180816,2,,
Lockup: County Jails: Collection 1,20180901,,,
London Has Fallen,20180313,1,,
Lost: Seasons 1–6,20180104,2,,
Lucky Number Slevin,20171210,1,,
Made of Honor ,20180101,1,,
Magic City: Seasons 1-2,20180201,2,,
Man on Wire,20180901,,,
Mean Girls ,20180101,1,,
Memento,20180301,1,,
Men in Black,20180601,1,,
Miami SWAT: Season 1,20180228,2,,
Michael Clayton ,20180701,1,,
Midnight in Paris ,20180701,1,,
Miss Congeniality ,20180101,1,,
Miss Congeniality 2: Armed and Fabulous ,20180101,1,,
Mixed Signals ,20180701,1,,
Mona Lisa Smile ,20180101,1,,
Moonrise Kingdom,20180916,,,
More Than a Game ,20180701,1,,
My Fake Fiancé ,20180502,1,,
My Left Foot,20180601,1,,
Naz & Maalik,20180615,1,,
Neerja,20180601,1,,
Never Let Me Go,20180401,2,,
Night Watch,20180201,1,,
Nightcrawler,20171210,1,,
Ocean’s Eleven,20180501,1,,
On Golden Pond,20180630,1,,
Open Season: Scared Silly ,20180201,1,,
Our Last Tango,20180216,1,,
Out of the Dark,20180601,1,,
Outsourced,20180902,,,
Pandemic,20180701,1,,
Pariah ,20180816,1,,
Perfect Stranger,20180201,1,,
Phineas and Ferb the Movie: Across the 2nd Dimension,20180502,1,,
Phineas and Ferb: Seasons 1–4,20180502,2,,
Picture Perfect,20171201,1,,
Piglet’s Big Movie,20180701,1,,
Pirates of the Caribbean: The Curse of the Black Pearl,20171225,1,,
Police Academy ,20180101,1,,
Pound Puppies: Seasons 1-3,20180816,2,,
Practical Magic,20171201,1,,
Princess Kaiulani,20180601,1,,
Princess Protection Program,20180502,1,,
Princess: A Modern Fairytale,20180502,1,,
Project X ,20180201,1,,
Pulp Fiction ,20180101,1,,
Ratchet and Clank ,20180709,1,,
Ravenous,20171101,1,,
Read It and Weep ,20180502,1,,
Reasonable Doubt ,20180801,1,,
Rebelde,20171201,1,,
Reggie Yates Outside Man: Volume 2,20171117,2,,
Requiem for a Dream ,20180101,1,,
Revenge of the Bridesmaids ,20180502,1,,
Rosewood: Season 1,20180301,2,,
Rugrats Go Wild,20180701,1,,
Rules of Engagement: Seasons 1 - 7,20180911,,,
Safe Haven,20180304,1,,
Sahara,20180501,1,,
Salem: Seasons 2-3,20180301,2,,
Sausage Party,20180823,1,,
Save the Date,20180216,1,,
Saw ,20180101,1,,
Saw II ,20180101,1,,
Saw III ,20180101,1,,
Saw IV ,20180101,1,,
Saw V ,20180101,1,,
Saw VI ,20180101,1,,
Saw: The Final Chapter,20180101,1,,
Scary Movie ,20180701,1,,
Scary Movie 2,20171201,1,,
Scary Movie 3,20171201,1,,
Scream 3,20180701,1,,
Seeking a Friend for the End of the World,20180816,1,,
Serena,20180709,1,,
Set Up,20180401,2,,
Shark Men: Season 3,20180602,2,,
Sharpay’s Fabulous Adventure,20180502,1,,
Silent Hill ,20180501,1,,
Silver Streak,20180201,1,,
Sin City: A Dame to Kill For,20180622,1,,
Sirens: Seasons 1–2,20180115,2,,
Sky High,20171105,1,,
Slums of Beverly Hills,20180301,1,,
Small Is Beautiful: A Tiny House Documentary,20180715,1,,
Small Shots: Season 1,20180301,2,,
Small Soldiers ,20180401,2,,
Someone Like You ,20180101,1,,
Somewhere Only We Know,20171117,1,,
Son of God,20180416,2,,
Special Agent Oso: Seasons 1–2,20180502,2,,
St. Vincent,20180810,1,,
Standby,20180312,1,,
Starry Eyes,20180403,2,,
StarStruck ,20180502,1,,
Steve Jobs: One Last Thing,20180322,1,,
Stranger by the Lake,20180201,1,,
Stuart Little 3: Call of the Wild,20180901,,,
Super,20180616,1,,
Super Size Me,20171201,1,,
Swing State,20180730,1,,
Talladega Nights: The Ballad of Ricky Bobby,20180512,1,,
Teen Spirit,20180502,1,,
Terminator 3: Rise of the Machines,20180701,1,,
Terriers: Season 1,20171201,2,,
The 40-Year-Old Virgin,20180816,1,,
The Addams Family ,20180101,1,,
The Adventures of Chuck & Friends: Season 2,20180816,2,,
The Angry Birds Movie,20180601,1,,
The Art of War,20180701,1,,
The Assets,20180901,,,
﻿The Awakening,20180331,1,,
The Benchwarmers,20180201,1,,
The Boy in the Striped Pajamas,20180101,1,,
The Break-Up,20171116,1,,
The Brothers,20171101,1,,
The Brothers Grimm,20180601,1,,
The Bucket List,20180901,,,
The Carmichael Show: Seasons 1–2,20180301,2,,
The Catch: Season 1,20180228,2,,
The Chase,20180301,1,,
The Cheetah Girls ,20180502,1,,
The Cheetah Girls 2,20180502,1,,
The Cheetah Girls: One World ,20180502,1,,
The Chicago Code: Season 1,20180301,2,,
The Craft,20180301,1,,
The Crazy Ones: Season 1,20180301,2,,
The Crucible,20171201,1,,
The Dark Knight ,20180901,,,
The Day the Earth Stood Still (1951),20180101,1,,
The Den,20180729,1,,
The Descent,20180901,,,
The Descent: Part 2,20180901,,,
The Desert Fox: The Story of Rommel ,20180101,1,,
The Dukes of Hazzard (2005),20180401,2,,
The Emperor’s New Clothes,20180412,2,,
The Exorcism of Emily Rose,20180501,1,,
The Exorcism of Molly Hartley,20180420,2,,
The Finder: Season 1,20180301,2,,
The Finest Hours,20180306,1,,
The Five Heartbeats,20180201,1,,
The Fury,20180201,1,,
The Gambler,20171130,1,,
The Gates: Season 1,20180329,2,,
The Giver,20180615,1,,
The Good Son ,20180331,1,,
The Gospel Road: A Story of Jesus,20171201,1,,
The Great Gatsby (1974),20180615,1,,
The Hallow,20180405,2,,
The Heartbreak Kid (2007),20171108,1,,
The Host,20180105,1,,
The Host (2013),20180507,1,,
The Human Centipede: First Sequence,20171115,1,,
The Hurt Locker ,20180501,1,,
The Imitation Game,20180928,,,
The Inn of the Sixth Happiness ,20180101,1,,
The Jungle Book,20180530,1,,
The Killing: Seasons 1-3,20180801,2,,
The Killing: Seasons 1–2,20180313,2,,
The Legend of Hell House,20171101,1,,
The Life Aquatic With Steve Zissou,20180326,1,,
The Longest Day,20180201,1,,
The Man from Snowy River,20171201,1,,
The Man with One Red Shoe ,20180101,1,,
The Manhattan Project ,20180101,1,,
The Matrix,20171101,1,,
The Matrix Reloaded,20171101,1,,
The Matrix Revolutions,20171101,1,,
The Men Who Stare at Goats,20180401,2,,
The Mighty Ducks ,20180101,1,,
The Newton Boys,20171101,1,,
The Nightingale,20180405,2,,
The Nightmare Before Christmas ,20180201,1,,
The Panic in Needle Park,20180301,1,,
The Parent Trap (1998),20180101,1,,
The Prestige,20180421,2,,
The Pursuit of Happyness,20180401,2,,
The Queen of Versailles,20171213,1,,
The Rite,20171210,1,,
The Road,20180825,1,,
The Santa Clause ,20180312,1,,
The Santa Clause 2,20180312,1,,
The Santa Clause 3: The Escape Clause ,20180312,1,,
The Secret Garden ,20180101,1,,
The Secret Life of the American Teenager: Seasons 1–5,20180502,2,,
The Shawshank Redemption,20180401,2,,
The Spy Next Door,20180601,1,,
The Switch ,20180101,1,,
The Texas Chainsaw Massacre: The Beginning,20180203,1,,
The Trials of Muhammad Ali,20180609,1,,
The Warlords,20171122,1,,
The Whole Nine Yards,20180401,2,,
The Young Victoria,20180601,1,,
Thomas & Friends: A Very Thomas Christmas,20171101,2,,
Thomas & Friends: Holiday Express,20171101,2,,
Thomas & Friends: Merry Winter Wish,20171101,2,,
Thomas & Friends: The Christmas Engines,20171101,2,,
Thomas & Friends: Ultimate Christmas,20171101,2,,
Three Coins in the Fountain ,20180101,1,,
Tin Man,20180201,2,,
To Rome With Love,20180501,1,,
"To Wong Foo, Thanks for Everything! Julie Newmar",20180501,1,,
Top Gear: Series 19-23,20180201,2,,
Touch: Season 2,20171201,2,,
Toys,20171201,1,,
Traffic Light: Season 1,20180301,2,,
Training Day,20180601,1,,
Transformers Prime: Seasons 2-3,20180816,2,,
Transformers: Rescue Bots: Seasons 2-4,20180816,2,,
Trigger Point,20180301,1,,
Tropic Thunder,20180701,1,,
Twilight,20171101,1,,
Two Girls and a Guy,20171201,1,,
Two Wrongs,20180301,1,,
Underdogs,20180615,1,,
Untraceable,20180601,1,,
V for Vendetta,20180701,1,,
V for Vendetta,20171101,1,,
V/H/S: Viral,20180319,1,,
VHS,20180103,1,,
Vice,20180601,1,,
Victoria,20180308,1,,
Vincent N Roxxy,20180202,1,,
Voltron 84: Season 1,20180324,2,,
Voyage to the Bottom of the Sea,20180201,1,,
Waffle Street,20180902,,,
Waking Life,20171201,1,,
Walk Hard: The Dewey Cox Story,20180801,1,,
Wanted,20180716,1,,
We Are Still Here,20171115,1,,
Welcome to Me,20180806,1,,
Wendy Wu: Homecoming Warrior,20180502,1,,
What Our Fathers Did: A Nazi Legacy,20180601,1,,
While You Were Sleeping,20180601,1,,
White Chicks ,20180101,1,,
Who Framed Roger Rabbit,20180324,1,,
Wild Hogs,20180714,1,,
Wild Wild West,20180401,2,,
Wizards of Waverly Place: The Movie,20180502,1,,
xXx,20180301,1,,
Young Frankenstein,20171201,1,,
Young Mr. Lincoln,20180101,1,,
Yu-Gi-Oh! Bonds Beyond Time,20171201,2,,
Yu-Gi-Oh! Zexal: Seasons 1-2,20171201,2,,
Z Storm,20180417,2,,
Zootopia,20180320,1,,
10 Things I Hate About You,20170801,1,,
10.0 Earthquake (2014),20161001,1,,
100 Below Zero (2013),20150910,1,,
101 Dalmatians (1996),20160401,1,,
11 Blocks,20170501,1,,
1492: Conquest of Paradise (1992),20151101,1,,
2 Fast 2 Furious (2003),20160901,1,,
2 Fast 2 Furious (2003),20160401,1,,
2001: A Space Odyssey (1968),20160701,1,,
30 for 30: Bernie and Ernie,20170101,1,,
30 for 30: Jordan Rides the Bus,20170101,1,,
30 for 30: No Crossover: The Trial of Allen Iverson,20170101,1,,
30 for 30: Once Brothers,20170101,1,,
30 for 30: Requiem for the Big East,20170101,1,,
30 for 30: The Day the Series Stopped,20170101,1,,
30 for 30: The Price of Gold,20170101,1,,
30 for 30: Winning Time: Reggie Miller vs. The New York Knicks,20170101,1,,
30 for 30: Without Bias,20170101,1,,
30 Rock: Seasons 1–7,20171001,2,,
360 (2011),20151206,1,,
4:44: Last Day on Earth,20170609,1,,
50 First Dates (2004),20161201,1,,
6 Guns,20170329,1,,
666 Park Avenue (Season 1),20160930,2,,
9/11: Stories in Fragments,20170701,1,,
A Clockwork Orange (1971),20160701,1,,
A Clockwork Orange (1971),20160101,1,,
A Fantastic Fear of Everything,20170415,1,,
A Gifted Man: Season 1,20170926,2,,
A Girl Walks Into a Bar (2011),20151112,1,,
A Late Quartet (2012),20160618,1,,
A League of Their Own (1992),20160701,1,,
A Love in Times of Selfies,20171001,1,,
A Nightmare on Elm Street,20170901,1,,
A Nightmare on Elm Street (1984),20151001,1,,
A Nightmare on Elm Street 2: Freddy’s Revenge (1985),20160830,1,,
A Pope For Everyone (2013),20160515,1,,
A Royal Affair (2012),20160425,1,,
A Walk to Remember (2002),20160901,1,,
A Wrinkle in Time (2003),20160601,1,,
A.C.O.D. ,20170201,1,,
About a Boy (2002),20160601,1,,
Across the Universe,20171001,1,,
Addams Family Values (1993),20160801,1,,
Adventures of Pepper and Paula,20170712,1,,
Agent Cody Banks 2: Destination London (2004),20150901,1,,
Agent F.O.X.,20170624,1,,
Alexandria (2010),20151027,1,,
Alfie,20170501,1,,
Alias (Seasons 1–5),20160925,2,,
All About Eve (1950),20151201,1,,
All American Christmas Carol (2013),20160415,1,,
All Stars Pup ,20170325,1,,
All That Glitters,20170715,1,,
Allegiance (2012)|,20160701,1,,
Ally McBeal: Seasons 1–5,20170401,2,,
Almost Famous (2000),20161101,1,,
Almost Famous (2000),20160101,1,,
Along Came a Spider (2001),20160401,1,,
Along Came Polly (2004),20160701,1,,
Along Came Polly (2004),20160401,1,,
Alpha and Omega 2: A Howl-iday Adventure (2013),20151007,1,,
Alpha and Omega 3: The Great Wolf Games (2014),20151007,1,,
Alpha and Omega: The Legend of the Saw Tooth Cave (2014),20151122,1,,
